deposit_id,site_id,latitude,longitude,depth_m,grade_percent,is_confirmed_deposit
dep_001,balaghat,21.84274,80.39401,150.8,11.62,False
dep_002,balaghat,21.88317,80.29825,241.3,5.03,False
dep_003,balaghat,21.996,80.23858,202.8,41.45,True
dep_004,balaghat,21.86793,80.50391,277.6,6.18,False
dep_005,balaghat,21.93917,80.43192,164.2,9.87,False
dep_006,balaghat,21.97928,80.32965,114.9,10.25,False
dep_007,balaghat,21.86363,80.25504,167.2,27.05,True
dep_008,balaghat,21.89592,80.40183,23.6,39.81,True
dep_009,balaghat,21.89946,80.3017,74.7,7.05,False
dep_010,balaghat,21.93052,80.32526,104.0,13.49,False
dep_011,balaghat,21.84918,80.47288,243.3,13.18,False
dep_012,balaghat,21.93302,80.29495,285.1,12.7,False
dep_013,balaghat,21.92388,80.32441,272.1,12.81,False
dep_014,nagpur,21.38891,79.29431,107.9,19.41,True
dep_015,nagpur,21.38239,79.29484,83.8,34.45,True
dep_016,nagpur,21.40852,79.28155,72.9,37.23,True
dep_017,nagpur,21.43539,79.27808,194.0,30.86,True
dep_018,nagpur,21.39487,79.26397,158.6,30.88,True
dep_019,nagpur,21.40591,79.29207,181.6,21.04,True
dep_020,nagpur,21.39985,79.21795,242.3,19.82,True
dep_021,nagpur,21.41149,79.25367,160.0,38.49,True
dep_022,nagpur,21.36343,79.31726,297.1,19.49,True
dep_023,nagpur,21.35951,79.25716,224.4,10.47,False
dep_024,nagpur,21.38834,79.28012,136.6,17.31,True
dep_025,nagpur,21.44024,79.32318,268.8,6.36,False
dep_026,nagpur,21.42295,79.23538,285.2,15.72,True
dep_027,bhandara,21.48906,79.69182,98.9,34.81,True
dep_028,bhandara,21.55967,79.72119,46.0,23.79,True
dep_029,bhandara,21.48788,79.73931,157.6,7.08,False
dep_030,bhandara,21.55199,79.73307,269.3,23.59,True
dep_031,bhandara,21.58653,79.67487,283.8,7.71,False
dep_032,bhandara,21.57229,79.74468,204.7,34.73,True
dep_033,bhandara,21.54597,79.78777,85.3,3.17,False
dep_034,bhandara,21.55177,79.77182,57.7,38.31,True
dep_035,bhandara,21.55353,79.7081,234.5,38.48,True
dep_036,bhandara,21.49386,79.73969,260.0,13.25,False
dep_037,bhandara,21.55493,79.69548,203.6,5.95,False
dep_038,bhandara,21.52332,79.74926,55.9,41.19,True
dep_039,bhandara,21.51698,79.65078,43.5,2.22,False
dep_040,bhandara,21.54692,79.6816,164.5,13.92,False
