site_id,date,actual_output,target_output,backlog,loss_rain,loss_downtime,loss_backlog,loss_blast,loss_total
balaghat,2025-01-01,1236.0,1208.8,0.0,0.0,0.01779,0.0,0.0,0.01779
balaghat,2025-01-02,1238.7,1208.8,0.0,0.0,0.0,0.0,0.0,0.0
balaghat,2025-01-03,1140.2,1208.8,0.0,0.0,0.0,0.0,0.0,0.0
balaghat,2025-01-04,1175.9,1208.8,0.05678,0.0,0.0,0.00114,0.0,0.00114
balaghat,2025-01-05,1274.7,1208.8,0.07544,0.00184,0.0,0.00151,0.0,0.00335
balaghat,2025-01-06,1040.5,1208.8,0.00956,0.00256,0.08975,0.00019,0.0,0.0925
balaghat,2025-01-07,1169.7,1208.8,0.14737,0.01138,0.0,0.00295,0.0,0.01433
balaghat,2025-01-08,1189.6,1233.2,0.15762,0.00528,0.02992,0.00315,0.0,0.03835
balaghat,2025-01-09,1176.6,1233.2,0.1693,0.0,0.05,0.00339,0.0,0.05339
balaghat,2025-01-10,1224.6,1233.2,0.18983,0.0,0.05,0.0038,0.0,0.0538
balaghat,2025-01-11,1049.9,1233.2,0.16836,0.01272,0.1066,0.00337,0.0,0.12269
balaghat,2025-01-12,1078.0,1233.2,0.29171,0.00636,0.117,0.00583,0.0,0.12919
balaghat,2025-01-13,1145.4,1233.2,0.37383,0.01904,0.06549,0.00748,0.0,0.092
balaghat,2025-01-14,1049.5,1233.2,0.38893,0.00952,0.12355,0.00778,0.0,0.14085
balaghat,2025-01-15,1166.3,1212.1,0.4796,0.0,0.00123,0.00959,0.0,0.01083
balaghat,2025-01-16,1184.5,1212.1,0.44547,0.0,0.0,0.00891,0.0,0.00891
balaghat,2025-01-17,1150.8,1212.1,0.40148,0.0064,0.0,0.00803,0.0,0.01443
balaghat,2025-01-18,1198.1,1212.1,0.39184,0.0032,0.0,0.00784,0.0,0.01104
balaghat,2025-01-19,1242.9,1212.1,0.34467,0.0,0.0,0.00689,0.0,0.00689
balaghat,2025-01-20,1095.9,1212.1,0.26758,0.0,0.07605,0.00535,0.0,0.08141
balaghat,2025-01-21,1166.5,1212.1,0.3233,0.0,0.05,0.00647,0.0,0.05647
balaghat,2025-01-22,1033.7,1179.4,0.31242,0.0,0.06039,0.00625,0.0,0.06663
balaghat,2025-01-23,1066.9,1179.4,0.38913,0.0,0.03353,0.00778,0.0,0.04131
balaghat,2025-01-24,1172.6,1179.4,0.42612,0.0,0.033,0.00852,0.0,0.04152
balaghat,2025-01-25,1119.4,1179.4,0.368,0.0052,0.033,0.00736,0.0,0.04556
balaghat,2025-01-26,1106.9,1179.4,0.36369,0.0026,0.06324,0.00727,0.0,0.07312
balaghat,2025-01-27,1006.4,1179.4,0.3706,0.0,0.09901,0.00741,0.0,0.10642
balaghat,2025-01-28,1020.0,1179.4,0.46174,0.0,0.1,0.00923,0.0,0.10923
balaghat,2025-01-29,1033.4,1107.7,0.52765,0.0,0.08809,0.01055,0.0,0.09865
balaghat,2025-01-30,1094.3,1107.7,0.51557,0.0,0.0,0.01031,0.0,0.01031
balaghat,2025-01-31,1118.4,1107.7,0.45032,0.0,0.0,0.00901,0.0,0.00901
balaghat,2025-02-01,1045.6,1107.7,0.37313,0.0,0.04888,0.00746,0.0,0.05635
balaghat,2025-02-02,1063.4,1107.7,0.37321,0.0,0.06481,0.00746,0.0,0.07228
balaghat,2025-02-03,1026.5,1107.7,0.35722,0.0,0.05,0.00714,0.0,0.05714
balaghat,2025-02-04,971.2,1107.7,0.37697,0.0,0.05,0.00754,0.0,0.05754
balaghat,2025-02-05,1078.4,1142.7,0.44369,0.0,0.01886,0.00887,0.0,0.02773
balaghat,2025-02-06,1151.0,1142.7,0.4334,0.0,0.0,0.00867,0.0,0.00867
balaghat,2025-02-07,1126.3,1142.7,0.36111,0.01444,0.0,0.00722,0.0,0.02166
balaghat,2025-02-08,1107.8,1142.7,0.32132,0.01574,0.0,0.00643,0.0,0.02217
balaghat,2025-02-09,1133.4,1142.7,0.30361,0.00834,0.02731,0.00607,0.0,0.04173
balaghat,2025-02-10,1113.0,1142.7,0.26621,0.00204,0.0,0.00532,0.0,0.00736
balaghat,2025-02-11,1096.4,1142.7,0.25222,0.0,0.0,0.00504,0.0,0.00504
balaghat,2025-02-12,1166.8,1143.3,0.25488,0.0,0.0,0.0051,0.0,0.0051
balaghat,2025-02-13,1047.3,1143.3,0.19607,0.0,0.0,0.00392,0.06,0.06392
balaghat,2025-02-14,1036.4,1143.3,0.25063,0.0,0.03442,0.00501,0.06,0.09943
balaghat,2025-02-15,1020.4,1143.3,0.30654,0.0,0.0,0.00613,0.06,0.06613
balaghat,2025-02-16,971.2,1143.3,0.36804,0.0,0.04268,0.00736,0.06,0.11004
balaghat,2025-02-17,951.2,1143.3,0.46332,0.0,0.08148,0.00927,0.06,0.15075
balaghat,2025-02-18,1104.2,1143.3,0.56186,0.0,0.083,0.01124,0.0,0.09424
balaghat,2025-02-19,1129.1,1150.7,0.51175,0.0,0.02195,0.01023,0.0,0.03218
balaghat,2025-02-20,1130.2,1150.7,0.45379,0.0,0.0,0.00908,0.0,0.00908
balaghat,2025-02-21,1126.9,1150.7,0.40352,0.0,0.0,0.00807,0.0,0.00807
balaghat,2025-02-22,1150.0,1150.7,0.3637,0.0,0.0,0.00727,0.0,0.00727
balaghat,2025-02-23,1148.0,1150.7,0.30975,0.0,0.0,0.0062,0.0,0.0062
