site_id,date,rainfall_mm,rainfall_source,soil_moisture_m3m3,soil_moisture_source,lst_day_c,lst_source,ndvi,ndvi_age_days,ndvi_source
balaghat,2025-01-01,0.00,CHIRPS,0.1121,SMAP_L4,18.68,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-02,0.00,CHIRPS,0.1046,SMAP_L4,20.83,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-03,0.00,CHIRPS,0.0956,SMAP_L4,,,0.6075,0,S2_median_10d
balaghat,2025-01-04,0.46,CHIRPS,0.0886,SMAP_L4,21.73,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-05,0.41,CHIRPS,0.0873,SMAP_L4,22.64,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-06,2.64,CHIRPS,0.0807,SMAP_L4,,,0.6075,0,S2_median_10d
balaghat,2025-01-07,0.00,CHIRPS,0.0768,SMAP_L4,19.91,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-08,0.00,CHIRPS,0.0768,SMAP_L4,,,0.6075,0,S2_median_10d
balaghat,2025-01-09,0.00,CHIRPS,0.0732,SMAP_L4,20.13,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-10,3.18,CHIRPS,0.0726,SMAP_L4,19.91,MODIS_MOD11A1,0.6075,0,S2_median_10d
balaghat,2025-01-11,0.00,CHIRPS,0.0706,SMAP_L4,18.40,MODIS_MOD11A1,0.4635,0,S2_median_10d
balaghat,2025-01-12,4.76,CHIRPS,0.0705,SMAP_L4,,,0.4635,0,S2_median_10d
balaghat,2025-01-13,0.00,CHIRPS,0.0628,SMAP_L4,,,0.4635,0,S2_median_10d
balaghat,2025-01-14,0.00,CHIRPS,0.0623,SMAP_L4,19.66,MODIS_MOD11A1,0.4635,0,S2_median_10d
balaghat,2025-01-15,0.00,CHIRPS,0.0674,SMAP_L4,21.84,MODIS_MOD11A1,0.4635,0,S2_median_10d
balaghat,2025-01-16,1.60,CHIRPS,0.0780,SMAP_L4,,,0.4635,0,S2_median_10d
balaghat,2025-01-17,0.00,CHIRPS,0.0846,SMAP_L4,,,0.4635,0,S2_median_10d
balaghat,2025-01-18,0.00,CHIRPS,0.0651,SMAP_L4,,,0.4635,0,S2_median_10d
balaghat,2025-01-19,0.00,CHIRPS,0.0684,SMAP_L4,22.59,MODIS_MOD11A1,0.4635,0,S2_median_10d
balaghat,2025-01-20,0.00,CHIRPS,0.0709,SMAP_L4,24.19,MODIS_MOD11A1,0.4635,0,S2_median_10d
balaghat,2025-01-21,0.00,CHIRPS,0.0693,SMAP_L4,23.43,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-22,0.00,CHIRPS,0.0652,SMAP_L4,24.86,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-23,0.00,CHIRPS,0.0588,SMAP_L4,,,0.5972,0,S2_median_10d
balaghat,2025-01-24,1.30,CHIRPS,0.0564,SMAP_L4,23.98,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-25,0.00,CHIRPS,0.0590,SMAP_L4,23.85,MODIS_MOD11A1,0.5972,0,S2_median_10d
balaghat,2025-01-26,0.00,CHIRPS,0.0576,SMAP_L4,23.54,MODIS_MOD11A1,0.5972,0,S2_median_10d
