line_id,site_id,start_lat,start_lon,end_lat,end_lon,structure_type
ln_001,balaghat,22.000498,80.224817,21.988156,80.240828,fold_axis
ln_002,balaghat,21.963183,80.380008,21.974177,80.389624,shear_zone
ln_003,balaghat,21.85867,80.188002,21.846347,80.199505,fold_axis
ln_004,balaghat,21.857884,80.1844,21.878771,80.197556,fold_axis
ln_005,balaghat,21.993477,80.347136,21.985191,80.35687,fault
ln_006,balaghat,21.799502,80.329201,21.812683,80.342089,fault
ln_007,balaghat,21.972652,80.478351,21.98393,80.496006,fault
ln_008,balaghat,21.969917,80.384689,21.976469,80.396158,fault
ln_009,balaghat,21.910675,80.34723,21.89679,80.356258,fault
ln_010,balaghat,21.860027,80.339215,21.877837,80.352685,shear_zone
ln_011,balaghat,21.856112,80.251516,21.871366,80.272803,fold_axis
ln_012,balaghat,21.855062,80.181444,21.862474,80.184458,fault
ln_013,balaghat,21.888985,80.23498,21.908833,80.252301,fault
ln_014,balaghat,21.909782,80.409815,21.913137,80.41324,shear_zone
ln_015,balaghat,21.916377,80.236429,21.927202,80.256365,fold_axis
ln_016,balaghat,22.024029,80.295582,22.006109,80.310739,shear_zone
ln_017,balaghat,21.969383,80.177581,21.975143,80.182905,fold_axis
ln_018,balaghat,21.941556,80.452985,21.931013,80.462823,fold_axis
ln_019,balaghat,22.00513,80.222711,22.022248,80.239072,shear_zone
ln_020,balaghat,21.849321,80.266598,21.851517,80.271217,fold_axis
ln_021,nagpur,21.413071,79.213783,21.42373,79.232881,fault
ln_022,nagpur,21.411204,79.234292,21.390842,79.248053,fault
ln_023,nagpur,21.463236,79.313062,21.440711,79.323831,fold_axis
ln_024,nagpur,21.395949,79.307724,21.402711,79.312606,fault
ln_025,nagpur,21.45582,79.227694,21.458187,79.232543,fault
ln_026,nagpur,21.355818,79.275293,21.365451,79.293037,fault
ln_027,nagpur,21.405184,79.267516,21.397618,79.273407,fold_axis
ln_028,nagpur,21.407169,79.275204,21.415834,79.291125,fault
ln_029,nagpur,21.469228,79.280406,21.451137,79.30013,shear_zone
ln_030,nagpur,21.387337,79.249062,21.375069,79.253907,fold_axis
ln_031,nagpur,21.448477,79.321214,21.439188,79.325774,fault
ln_032,nagpur,21.436171,79.266266,21.422255,79.271719,fault
ln_033,nagpur,21.443377,79.285387,21.424214,79.288292,shear_zone
ln_034,nagpur,21.427241,79.286818,21.420612,79.288429,fault
ln_035,nagpur,21.467194,79.233083,21.457826,79.242879,fault
ln_036,nagpur,21.392796,79.221437,21.388045,79.227682,fault
ln_037,nagpur,21.406922,79.25932,21.388721,79.266715,fault
ln_038,nagpur,21.384314,79.293351,21.36724,79.31023,shear_zone
ln_039,bhandara,21.51384,79.725542,21.525882,79.731946,fold_axis
ln_040,bhandara,21.568368,79.754274,21.586039,79.768948,shear_zone
ln_041,bhandara,21.542351,79.781046,21.565678,79.788098,shear_zone
ln_042,bhandara,21.507401,79.660644,21.506335,79.669728,shear_zone
ln_043,bhandara,21.530323,79.672743,21.537374,79.675759,shear_zone
ln_044,bhandara,21.579441,79.768278,21.586107,79.770805,fold_axis
ln_045,bhandara,21.514172,79.743646,21.540575,79.74742,shear_zone
ln_046,bhandara,21.569833,79.745127,21.558012,79.769619,fold_axis
ln_047,bhandara,21.493514,79.796495,21.50054,79.803681,fold_axis
ln_048,bhandara,21.56531,79.777053,21.566117,79.805284,fault
ln_049,bhandara,21.571011,79.771354,21.571126,79.781199,fault
ln_050,bhandara,21.568521,79.765028,21.584356,79.767109,shear_zone
ln_051,bhandara,21.552698,79.703554,21.567156,79.710228,fault
ln_052,bhandara,21.528418,79.73167,21.525317,79.758375,shear_zone
ln_053,bhandara,21.494045,79.671441,21.492907,79.677116,fold_axis
ln_054,bhandara,21.538223,79.759781,21.547768,79.766898,fault
ln_055,bhandara,21.569935,79.753455,21.568059,79.772665,shear_zone
ln_056,bhandara,21.507744,79.754249,21.506797,79.760598,fault
ln_057,bhandara,21.51651,79.709448,21.514459,79.719753,fold_axis
