deposit_id,site_id,latitude,longitude,depth_m,grade_percent,is_confirmed_deposit,dist_to_nearest_structure,structural_density,synthetic_ndvi,synthetic_elevation
dep_001,balaghat,21.84274,80.39401,150.8,11.62,False,5729.0,0,0.0498,533.3
dep_002,balaghat,21.88317,80.29825,241.3,5.03,False,2935.9,0,0.2649,517.1
dep_003,balaghat,21.996,80.23858,202.8,41.45,True,521.4,2,0.5821,539.0
dep_004,balaghat,21.86793,80.50391,277.6,6.18,False,8171.2,0,0.4572,451.2
dep_005,balaghat,21.93917,80.43192,164.2,9.87,False,2191.3,0,0.1407,533.3
dep_006,balaghat,21.97928,80.32965,114.9,10.25,False,2393.4,0,0.1537,532.6
dep_007,balaghat,21.86363,80.25504,167.2,27.05,True,438.3,2,0.3572,505.2
dep_008,balaghat,21.89592,80.40183,23.6,39.81,True,1742.0,1,0.2147,528.0
dep_009,balaghat,21.89946,80.3017,74.7,7.05,False,4310.8,0,0.2937,518.8
dep_010,balaghat,21.93052,80.32526,104.0,13.49,False,3158.2,0,0.2257,526.9
dep_011,balaghat,21.84918,80.47288,243.3,13.18,False,9117.4,0,0.4004,470.1
dep_012,balaghat,21.93302,80.29495,285.1,12.7,False,4036.7,0,0.2259,516.7
dep_013,balaghat,21.92388,80.32441,272.1,12.81,False,2773.4,0,0.2463,526.0
dep_014,nagpur,21.38891,79.29431,107.9,19.41,True,518.5,2,-0.016,424.6
dep_015,nagpur,21.38239,79.29484,83.8,34.45,True,31.4,2,0.0013,424.8
dep_016,nagpur,21.40852,79.28155,72.9,37.23,True,201.3,5,-0.0565,428.4
dep_017,nagpur,21.43539,79.27808,194.0,30.86,True,874.2,3,0.0351,429.7
dep_018,nagpur,21.39487,79.26397,158.6,30.88,True,23.9,5,-0.0803,429.8
dep_019,nagpur,21.40591,79.29207,181.6,21.04,True,999.3,3,-0.0279,424.9
dep_020,nagpur,21.39985,79.21795,242.3,19.82,True,860.7,2,-0.2172,437.2
dep_021,nagpur,21.41149,79.25367,160.0,38.49,True,774.0,3,-0.1727,438.2
dep_022,nagpur,21.36343,79.31726,297.1,19.49,True,842.3,1,-0.0397,423.3
dep_023,nagpur,21.35951,79.25716,224.4,10.47,False,1755.5,2,0.1421,425.6
dep_024,nagpur,21.38834,79.28012,136.6,17.31,True,1240.9,3,-0.0183,426.5
dep_025,nagpur,21.44024,79.32318,268.8,6.36,False,85.3,2,0.2143,412.4
dep_026,nagpur,21.42295,79.23538,285.2,15.72,True,273.1,2,-0.236,447.4
dep_027,bhandara,21.48906,79.69182,98.9,34.81,True,1581.9,1,0.1921,584.2
dep_028,bhandara,21.55967,79.72119,46.0,23.79,True,1370.7,1,0.1099,508.0
dep_029,bhandara,21.48788,79.73931,157.6,7.08,False,2689.0,0,-0.097,517.9
dep_030,bhandara,21.55199,79.73307,269.3,23.59,True,1950.8,1,0.1364,515.9
dep_031,bhandara,21.58653,79.67487,283.8,7.71,False,4243.2,0,-0.0418,472.8
dep_032,bhandara,21.57229,79.74468,204.7,34.73,True,275.9,3,0.2212,469.8
dep_033,bhandara,21.54597,79.78777,85.3,3.17,False,561.1,1,0.1613,472.9
dep_034,bhandara,21.55177,79.77182,57.7,38.31,True,675.4,6,0.2003,480.1
dep_035,bhandara,21.55353,79.7081,234.5,38.48,True,395.7,1,0.0765,533.6
dep_036,bhandara,21.49386,79.73969,260.0,13.25,False,2153.4,0,-0.0848,527.6
dep_037,bhandara,21.55493,79.69548,203.6,5.95,False,871.9,1,0.0352,537.4
dep_038,bhandara,21.52332,79.74926,55.9,41.19,True,335.7,5,0.0249,536.4
dep_039,bhandara,21.51698,79.65078,43.5,2.22,False,1472.7,1,0.2159,608.8
dep_040,bhandara,21.54692,79.6816,164.5,13.92,False,1217.7,1,0.0296,563.5
